ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
CP.TO,CAD,91.61,mid,2,-0.989,1.098,608,-179.494,802.708
CNQ.TO,CAD,45.52,mid,10,4.901,17.901,798,-206.984,1231.167
BNS.TO,CAD,88.97,mid,22,13.964,64.149,801,-273.030,1132.377
TRP.TO,CAD,63.27,mid,5,8.326,23.279,767,-203.352,965.850
SU.TO,CAD,60.14,mid,15,7.484,24.313,798,-156.008,1174.485
ATD.TO,CAD,66.94,mid,24,-35.056,63.109,739,-240.284,1480.305
CM.TO,CAD,118.84,large,37,12.622,85.290,803,-228.192,1214.792
MFC.TO,CAD,44.32,mid,28,3.392,41.322,666,-188.314,1034.722
SHOP.TO,CAD,151.65,large,0,0.000,0.000,266,-87.618,390.366
NTR.TO,CAD,64.49,mid,11,4.170,10.326,216,-39.589,273.631
TRI.TO,CAD,101.90,large,6,-6.130,6.516,420,-97.947,663.361
WCN.TO,CAD,166.49,large,16,18.583,54.815,627,-186.223,941.423
GWO.TO,CAD,65.64,mid,25,-0.509,46.095,590,-196.155,842.791
FNV.TO,CAD,238.78,large,13,-7.046,14.415,473,-80.528,728.617
AEM.TO,CAD,178.91,large,8,2.016,21.797,765,-91.284,1251.177
CVE.TO,CAD,28.25,mid,19,-2.155,18.803,434,-91.759,675.642
IMO.TO,CAD,124.99,large,17,-1.408,32.316,775,-255.513,1039.417
BCE.TO,CAD,22.72,mid,24,-1.773,26.623,763,-211.581,1262.355
MG.TO,CAD,70.34,mid,10,-2.061,7.009,549,-24.509,943.554
DOL.TO,CAD,138.16,large,1,-1.063,1.130,388,-188.257,488.324
POW.TO,CAD,67.08,mid,22,6.094,51.902,798,-131.898,1271.815
SLF.TO,CAD,81.97,mid,6,-1.446,2.835,654,-203.155,905.804
PPL.TO,CAD,47.55,mid,0,0.000,0.000,578,-245.747,853.755
TECK-B.TO,CAD,66.54,mid,42,-31.650,41.422,813,-216.657,1137.477
WPM.TO,CAD,134.40,large,10,-2.961,9.507,522,-49.807,883.720
NA.TO,CAD,163.27,large,10,-9.179,9.727,797,-287.315,1230.514
QSR.TO,CAD,73.93,mid,0,0.000,0.000,274,-94.875,386.444
CSU.TO,CAD,2311.38,large,0,0.000,0.000,475,-196.321,662.790
GIB-A.TO,CAD,74.89,mid,9,8.975,12.251,727,-243.500,987.056
FTS.TO,CAD,56.13,mid,9,3.656,21.313,791,-275.243,1072.149
H.TO,CAD,40.57,mid,6,5.810,5.860,258,-65.278,384.403
EMA.TO,CAD,50.85,mid,25,-4.104,34.097,795,-250.328,986.769
CCO.TO,CAD,97.47,mid,19,0.755,33.681,796,-85.572,1276.668
K.TO,CAD,27.64,mid,7,4.006,19.278,591,-108.421,795.288
ABX.TO,CAD,43.74,mid,17,12.061,27.739,795,-58.895,1250.434
OTEX.TO,CAD,24.92,mid,39,-10.371,24.684,722,-193.499,1123.633
BB.TO,CAD,8.99,small,63,-20.573,110.571,702,-88.600,1176.870
LUN.TO,CAD,27.02,mid,25,-15.339,22.785,750,-84.309,1260.007
FM.TO,CAD,31.33,mid,17,-10.902,14.624,664,-178.977,969.813
TOU.TO,CAD,42.44,mid,16,4.518,34.816,359,-8.545,663.309
ARX.TO,CAD,23.31,mid,18,-1.552,28.993,764,-134.395,1167.277
RELIANCE.NS,INR,14.02,small,9,-6.910,8.334,758,-257.955,1132.483
TCS.NS,INR,25.76,mid,5,-3.171,2.868,565,-176.923,733.423
HDFCBANK.NS,INR,7.68,small,10,9.451,32.259,781,-363.548,968.975
INFY.NS,INR,12.34,small,10,-6.617,18.561,744,-312.282,1151.348
ICICIBANK.NS,INR,14.93,small,8,-5.114,16.673,604,-239.840,831.341
BHARTIARTL.NS,INR,20.59,mid,3,-2.556,2.538,600,-199.066,689.330
SBIN.NS,INR,11.53,small,29,-14.152,52.442,757,-212.478,1151.513
LT.NS,INR,42.61,mid,13,-12.589,13.545,594,-147.583,868.562
ITC.NS,INR,3.01,micro,8,1.040,10.649,771,-452.021,1237.814
HINDUNILVR.NS,INR,22.02,mid,18,-9.010,13.776,756,-204.685,981.994
BAJFINANCE.NS,INR,11.32,small,15,-10.291,14.253,595,-250.298,772.759
KOTAKBANK.NS,INR,4.10,micro,6,0.660,18.373,616,-359.012,873.789
AXISBANK.NS,INR,13.00,small,12,4.384,33.689,687,-218.552,962.497
ASIANPAINT.NS,INR,28.73,mid,18,-15.595,20.203,614,-197.218,930.701
MARUTI.NS,INR,147.45,large,10,-4.728,16.555,548,-151.218,792.581
SUNPHARMA.NS,INR,20.43,mid,11,-8.108,12.718,766,-235.763,1062.447
TITAN.NS,INR,51.90,mid,17,-8.561,30.008,773,-253.557,972.812
WIPRO.NS,INR,1.97,micro,43,0.574,95.942,757,-696.735,1700.076
ONGC.NS,INR,2.51,micro,18,-6.302,36.220,777,-323.745,1172.682
NTPC.NS,INR,3.60,micro,11,-4.799,14.558,520,-225.456,732.229
POWERGRID.NS,INR,2.85,micro,4,-6.007,9.074,461,-262.147,554.887
ULTRACEMCO.NS,INR,127.15,large,18,-6.960,8.118,581,-205.860,654.769
NESTLEIND.NS,INR,16.18,small,12,-6.936,6.181,427,-135.067,493.957
BAJAJFINSV.NS,INR,21.10,mid,48,-37.444,71.558,581,-160.038,816.909
TATAMOTORS.NS,,,skip,0,0,0,0,0,0
TATASTEEL.NS,INR,1.97,micro,59,-40.560,84.586,766,-589.219,1645.637
HCLTECH.NS,INR,14.25,small,16,-8.389,18.685,614,-230.252,841.131
ADANIENT.NS,INR,31.72,mid,32,-9.274,42.126,578,-129.142,830.253
JSWSTEEL.NS,INR,13.65,small,15,-4.476,38.222,582,-171.664,762.406
COALINDIA.NS,INR,4.36,micro,12,-1.060,15.212,355,-156.494,519.053
GRASIM.NS,INR,34.91,mid,36,-34.365,37.539,617,-192.012,836.247
INDUSINDBK.NS,INR,10.74,small,26,-5.025,47.526,581,-203.444,805.241
DRREDDY.NS,INR,12.31,small,15,-2.823,35.645,761,-258.544,1065.442
CIPLA.NS,INR,15.38,small,23,-1.194,60.096,780,-228.579,1055.159
TECHM.NS,INR,17.17,small,20,-12.815,12.580,467,-144.028,660.517
BRITANNIA.NS,INR,57.88,mid,26,-8.673,36.600,776,-223.701,967.811
EICHERMOT.NS,INR,84.24,mid,44,-26.295,61.574,757,-278.577,923.067
HEROMOTOCO.NS,INR,60.14,mid,24,-5.478,32.053,585,-127.230,793.958
DIVISLAB.NS,INR,86.92,mid,20,12.225,54.172,598,-190.489,768.813
HINDALCO.NS,INR,11.13,small,89,-49.074,144.914,752,-195.445,1146.598
BPCL.NS,INR,3.37,micro,10,-4.837,8.154,764,-288.706,1260.148
SBILIFE.NS,INR,19.49,small,4,0.203,5.817,208,-36.970,305.794
BAJAJ-AUTO.NS,INR,122.50,large,8,-1.802,14.652,603,-181.625,788.744
TATACONSUM.NS,INR,11.37,small,31,-26.576,41.817,749,-202.169,1007.504
005930.KS,KRW,163.17,large,22,-1.267,34.949,651,-158.846,924.070
000660.KS,KRW,1004.45,large,34,-14.212,47.024,689,-113.583,950.838
373220.KS,KRW,254.29,large,0,0.000,0.000,77,2.508,135.745
207940.KS,KRW,1099.10,large,4,0.461,10.926,225,-30.191,359.859
005380.KS,KRW,279.37,large,17,12.431,37.709,663,-183.779,834.272
051910.KS,KRW,194.96,large,17,1.186,13.911,619,-64.910,859.193
006400.KS,KRW,324.22,large,40,-20.869,36.004,655,-76.934,985.457
035420.KS,KRW,148.34,large,6,-3.906,7.290,580,-101.424,757.989
000270.KS,KRW,95.29,mid,28,0.186,46.742,673,-92.975,1023.812
068270.KS,KRW,140.78,large,17,-5.143,20.439,502,-38.887,688.778
105560.KS,KRW,124.18,large,81,-62.759,389.558,535,-187.404,1024.685
055550.KS,KRW,77.70,mid,7,11.818,33.374,664,-141.553,799.600
012330.KS,KRW,350.71,large,17,-1.773,23.475,648,-133.211,878.872
028260.KS,KRW,237.69,large,10,-0.893,6.105,276,-29.779,364.713
066570.KS,KRW,130.68,large,24,-13.140,23.405,605,-35.907,978.098
003670.KS,KRW,110.05,large,3,3.421,3.964,613,-133.804,763.183
096770.KS,KRW,84.98,mid,10,-3.397,7.708,459,-23.112,735.331
034730.KS,KRW,358.83,large,7,1.059,8.883,387,-60.091,550.471
015760.KS,KRW,25.15,mid,25,20.135,49.499,672,-88.835,883.899
009150.KS,KRW,902.73,large,42,-13.189,61.887,668,-90.312,1036.077
032830.KS,KRW,194.60,large,11,-2.127,11.816,384,-58.911,408.063
086790.KS,KRW,95.15,mid,11,3.953,16.378,574,-155.138,659.127
000810.KS,KRW,455.61,large,2,2.521,4.194,656,-149.751,767.134
011200.KS,KRW,15.40,small,38,19.864,110.791,680,-18.546,1049.118
010130.KS,KRW,781.24,large,21,-5.181,34.910,637,-158.300,871.980
018260.KS,KRW,156.46,large,20,2.300,40.809,299,-37.648,395.357
024110.KS,KRW,14.66,small,29,7.891,67.019,649,-201.508,948.461
090430.KS,KRW,100.16,large,17,9.353,48.485,501,-89.976,661.173
011070.KS,KRW,389.91,large,0,0.000,0.000,412,-68.367,571.250
010950.KS,KRW,97.20,mid,24,2.969,19.876,687,-67.866,1015.416
2330.TW,TWD,73.52,mid,14,2.842,18.996,635,-174.369,952.322
2317.TW,TWD,8.07,small,36,-0.173,90.341,838,-255.901,1460.705
2454.TW,TWD,120.99,large,24,10.235,45.309,640,-104.371,1068.528
2308.TW,TWD,51.19,mid,21,-14.431,26.415,637,-80.836,1000.048
2382.TW,TWD,9.24,small,16,-15.549,21.602,660,-200.121,1062.917
2412.TW,TWD,4.27,micro,13,2.823,39.093,634,-631.934,1595.675
2881.TW,TWD,3.94,micro,17,-5.990,38.633,593,-361.561,1092.390
2882.TW,TWD,3.08,micro,13,-3.676,24.687,682,-396.349,1303.272
3711.TW,TWD,18.15,small,14,-3.110,37.908,639,-123.198,1057.559
1301.TW,TWD,1.73,micro,18,-28.175,65.478,661,-848.717,2142.535
2303.TW,TWD,3.60,micro,23,-4.903,30.676,653,-261.557,1151.650
2886.TW,TWD,1.58,micro,20,-29.153,55.512,653,-910.931,2607.145
2891.TW,TWD,2.04,micro,5,-2.741,2.347,615,-374.613,1206.502
3008.TW,TWD,136.03,large,30,9.366,45.612,584,-27.952,973.183
2002.TW,TWD,0.59,micro,30,-35.364,71.958,656,-959.608,2657.274
1216.TW,TWD,2.35,micro,16,4.475,7.033,649,-406.580,1079.965
2884.TW,TWD,1.18,micro,9,-14.239,23.748,609,-942.783,2643.322
2892.TW,TWD,1.10,micro,7,-6.216,13.033,578,-1050.008,3120.015
5880.TW,TWD,0.81,micro,14,-5.009,26.093,647,-1040.311,3062.809
2357.TW,TWD,25.35,mid,37,-20.128,27.094,675,-86.350,1190.393
3034.TW,TWD,16.81,small,21,-6.263,18.807,567,-114.108,789.731
2327.TW,TWD,16.75,small,60,-19.446,91.889,660,-82.059,1103.755
2379.TW,TWD,23.27,mid,23,-2.006,47.190,661,-88.497,1054.628
2395.TW,TWD,19.67,small,14,-3.233,10.343,649,-217.845,793.059
4938.TW,TWD,2.70,micro,23,-5.572,52.922,409,-178.191,706.213
6505.TW,TWD,2.20,micro,10,-2.189,18.180,543,-296.563,930.715
2603.TW,TWD,6.44,small,22,10.394,58.499,681,-133.205,1143.600
2609.TW,TWD,1.57,micro,41,-50.043,117.741,639,-407.299,1465.945
2615.TW,TWD,2.63,micro,17,-3.033,39.208,663,-214.779,1104.138
1101.TW,TWD,0.76,micro,21,-19.024,60.996,653,-686.309,1858.691
PETR4.SA,BRL,8.04,small,34,-20.388,35.096,659,-199.359,1071.192
VALE3.SA,BRL,14.75,small,10,-5.237,13.515,682,-214.338,1087.543
ITUB4.SA,BRL,8.02,small,18,2.906,24.604,616,-155.330,961.970
BBDC4.SA,BRL,3.40,micro,40,-38.879,72.525,461,-199.811,790.636
B3SA3.SA,BRL,2.94,micro,11,-11.886,15.650,443,-182.642,636.168
ABEV3.SA,BRL,3.04,micro,23,-20.327,50.263,672,-444.551,1290.870
WEGE3.SA,BRL,9.46,small,26,-76.992,437.962,543,-536.909,19523.186
RENT3.SA,BRL,7.44,small,1,-1.113,1.240,529,-152.369,686.057
BBAS3.SA,BRL,3.95,micro,15,-6.339,21.830,651,-246.470,1066.163
PRIO3.SA,BRL,11.30,small,30,12.002,47.969,401,-51.036,615.840
ITSA4.SA,BRL,2.60,micro,10,-4.396,9.292,638,-319.865,1008.491
SUZB3.SA,BRL,8.20,small,6,-3.412,2.351,248,-24.406,332.254
JBSS3.SA,,,skip,0,0,0,0,0,0
RADL3.SA,BRL,3.98,micro,68,-663.213,28177.076,512,-547.369,15831.285
EQTL3.SA,BRL,7.33,small,3,-3.545,4.196,452,-230.110,536.209
RAIL3.SA,BRL,2.67,micro,3,2.731,6.801,290,-145.619,375.403
BPAC11.SA,BRL,10.60,small,7,-7.860,8.829,210,-68.803,251.185
GGBR4.SA,BRL,4.93,micro,34,-16.398,58.617,628,-192.578,1060.581
VBBR3.SA,BRL,6.73,small,2,-0.583,1.475,203,-79.384,244.098
CSAN3.SA,BRL,0.72,micro,19,-16.873,45.708,493,-351.479,906.425
ELET3.SA,,,skip,0,0,0,0,0,0
LREN3.SA,BRL,2.44,micro,18,-12.102,28.286,554,-243.604,812.439
HAPV3.SA,BRL,2.12,micro,32,-5.999,21.769,173,-5.517,277.149
TOTS3.SA,BRL,6.34,small,16,3.560,17.384,489,-179.409,599.000
RDOR3.SA,BRL,6.67,small,10,-5.881,10.503,121,5.334,220.691
NTCO3.SA,,,skip,0,0,0,0,0,0
CMIG4.SA,BRL,2.15,micro,12,-1.162,11.804,667,-256.338,999.304
UGPA3.SA,BRL,6.15,small,3,-3.092,4.263,405,-136.213,657.003
EMBR3.SA,,,skip,0,0,0,0,0,0
CCRO3.SA,,,skip,0,0,0,0,0,0
NPN.JO,ZAc,56.55,mid,29,-27.987,30.531,679,-162.048,1025.073
PRX.JO,ZAc,49.36,mid,4,-4.164,4.335,167,-26.823,249.841
FSR.JO,ZAc,6.26,small,1,0.287,0.082,672,-298.153,816.918
SBK.JO,ZAc,20.58,mid,2,-0.241,0.037,677,-198.546,876.612
ABG.JO,ZAc,14.32,small,10,-9.850,11.036,678,-202.747,896.331
MTN.JO,ZAc,12.74,small,12,-1.521,25.780,692,-210.219,900.232
CFR.JO,ZAc,243.50,large,0,0.000,0.000,49,-22.882,64.410
AGL.JO,ZAc,54.63,mid,10,-9.239,9.850,672,-114.451,1023.056
BTI.JO,ZAc,59.86,mid,21,-6.847,12.128,674,-182.979,887.537
SOL.JO,ZAc,11.15,small,27,19.844,69.864,700,-157.168,1053.105
SHP.JO,ZAc,17.75,small,11,-6.947,19.008,654,-207.413,823.593
GFI.JO,ZAc,41.14,mid,19,1.161,32.007,689,-133.424,984.612
ANG.JO,ZAc,97.34,mid,43,19.596,91.000,680,-122.592,918.000
IMP.JO,ZAc,13.21,small,24,-16.785,28.831,670,-108.975,987.107
VOD.JO,ZAc,9.77,small,4,1.795,5.123,594,-193.594,776.529
CPI.JO,ZAc,299.45,large,4,-4.232,4.478,669,-223.633,899.081
BID.JO,ZAc,26.97,mid,3,-0.058,0.063,262,-75.121,296.916
REM.JO,ZAc,12.14,small,11,-5.955,13.763,654,-277.816,772.304
SLM.JO,ZAc,5.53,small,3,-3.068,3.239,681,-256.193,814.715
DSY.JO,ZAc,16.37,small,19,-6.365,19.294,680,-199.090,967.694
NED.JO,ZAc,18.30,small,11,14.742,50.058,670,-122.035,899.012
APN.JO,ZAc,9.44,small,26,-9.395,36.420,680,-266.652,1009.401
MRP.JO,ZAc,11.17,small,23,-13.848,33.342,673,-202.039,1100.161
CLS.JO,ZAc,13.39,small,20,-16.511,41.884,678,-172.339,883.527
TFG.JO,ZAc,3.57,micro,26,-19.571,46.553,697,-313.085,1111.751
WHL.JO,ZAc,2.88,micro,5,-4.448,4.948,651,-368.640,922.905
MNP.JO,ZAc,12.46,small,2,-0.919,1.652,495,-107.547,755.250
EXX.JO,ZAc,12.37,small,16,-13.153,13.989,605,-180.799,760.002
AMS.JO,,,skip,0,0,0,0,0,0
KIO.JO,ZAc,16.09,small,33,-14.399,53.296,500,-44.064,765.958
D05.SI,SGD,59.73,mid,20,-8.924,17.233,664,-155.398,1055.537
O39.SI,SGD,23.71,mid,15,-10.528,14.600,673,-217.390,1059.298
U11.SI,SGD,33.88,mid,20,-8.552,34.005,695,-125.333,1117.248
Z74.SI,SGD,3.36,micro,6,-8.055,10.815,522,-367.306,896.573
C6L.SI,SGD,5.95,small,17,-12.090,15.289,662,-184.817,1057.591
F34.SI,SGD,3.08,micro,14,-5.852,22.890,494,-214.773,927.914
C38U.SI,SGD,1.93,micro,19,5.016,22.950,480,-569.408,1326.863
A17U.SI,SGD,1.96,micro,6,-8.143,14.693,507,-628.995,1445.133
BN4.SI,SGD,8.75,small,39,-0.494,72.071,486,-155.024,872.568
S68.SI,SGD,19.18,small,1,-1.090,1.189,633,-166.915,988.948
G13.SI,SGD,0.49,micro,35,-21.875,47.055,663,-595.713,1578.148
H78.SI,USD,7.97,small,7,0.961,3.158,673,-190.164,1030.768
C09.SI,SGD,6.09,small,15,5.291,36.797,662,-97.833,1103.007
Y92.SI,SGD,0.36,micro,9,-12.077,28.122,513,-513.029,1063.463
U96.SI,SGD,4.38,micro,21,-11.552,38.349,663,-329.637,1148.866
BS6.SI,SGD,3.29,micro,22,-22.929,33.539,490,-226.652,817.325
S63.SI,SGD,8.08,small,19,9.658,37.334,647,-262.086,916.351
J36.SI,USD,63.70,mid,9,7.741,21.343,679,-220.527,837.399
M44U.SI,SGD,0.94,micro,8,-12.107,20.255,453,-582.834,1414.683
N2IU.SI,SGD,1.00,micro,20,7.717,36.569,395,-515.397,1280.607
