ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
NN.AS,EUR,93.21,mid,4,-4.539,5.151,278,-77.798,433.864
URW.AS,,,skip,0,0,0,0,0,0
LIGHT.AS,EUR,17.70,small,6,-0.242,4.330,244,-39.943,395.589
WHA.AS,EUR,21.76,mid,39,20.902,93.113,515,-28.712,893.405
AALB.AS,EUR,52.12,mid,54,-14.966,67.532,708,-82.928,1293.143
TKWY.AS,,,skip,0,0,0,0,0,0
OCI.AS,EUR,4.68,micro,16,8.289,32.659,346,-119.757,662.169
FUR.AS,EUR,10.06,small,21,-7.439,31.103,702,-127.714,1323.971
NESN.SW,CHF,100.55,large,24,-22.559,30.069,936,-294.797,1578.007
ROG.SW,,,skip,0,0,0,0,0,0
NOVN.SW,CHF,155.98,large,15,5.541,32.959,807,-148.694,1309.138
UBSG.SW,CHF,53.81,mid,19,35.532,108.976,798,-122.565,1329.636
ZURN.SW,CHF,734.46,large,18,-5.828,17.434,684,-62.724,1352.114
ABBN.SW,CHF,101.23,large,17,-0.152,20.428,684,-59.691,1300.716
CFR.SW,CHF,241.99,large,14,4.313,22.082,815,-112.379,1364.172
SIKA.SW,CHF,240.20,large,6,10.081,18.542,775,-245.960,1208.321
LONN.SW,CHF,708.46,large,33,-1.050,45.979,679,-109.365,1136.214
GIVN.SW,CHF,4171.26,large,5,3.746,8.606,696,-242.234,934.611
SREN.SW,CHF,171.48,large,27,8.920,77.926,767,-171.618,1401.627
ALC.SW,CHF,70.99,mid,0,0.000,0.000,182,-56.525,255.088
PGHN.SW,CHF,906.81,large,26,-18.819,29.760,491,-135.732,873.691
SCMN.SW,CHF,778.78,large,14,-0.106,26.372,730,-157.871,1070.031
GEBN.SW,CHF,695.09,large,17,-5.517,9.738,677,-158.735,1084.998
SLHN.SW,CHF,1181.42,large,44,-20.407,38.806,796,-105.237,1415.326
HOLN.SW,CHF,87.68,mid,15,2.729,34.703,662,-62.216,1178.200
BAER.SW,CHF,93.06,mid,20,3.548,35.750,776,-185.098,1245.161
SOON.SW,CHF,291.70,large,22,12.735,55.135,615,-102.027,1020.337
TEMN.SW,CHF,87.72,mid,47,2.819,111.138,625,-111.864,1008.353
STMN.SW,CHF,127.40,large,15,8.715,22.961,709,-208.988,1038.703
VACN.SW,CHF,783.98,large,3,-1.533,1.274,228,-30.536,386.508
LOGN.SW,CHF,104.82,large,25,-11.443,22.057,809,-56.117,1420.137
SGSN.SW,CHF,120.15,large,9,2.205,7.889,801,-177.299,1178.650
GALD.SW,CHF,224.53,large,0,0.000,0.000,43,-19.391,66.207
BALN.SW,,,skip,0,0,0,0,0,0
EMSN.SW,CHF,1026.41,large,20,-12.813,22.302,553,-71.936,780.207
SDZ.SW,CHF,90.11,mid,0,0.000,0.000,66,-37.487,85.446
ENEL.MI,EUR,11.61,small,11,-1.025,8.541,675,-190.613,1071.671
ISP.MI,EUR,7.89,small,7,-3.408,4.442,804,-182.343,1323.989
UCG.MI,EUR,97.58,mid,22,-11.276,21.462,679,-103.811,1048.933
ENI.MI,EUR,26.92,mid,10,-10.033,10.396,776,-164.836,1301.108
RACE.MI,EUR,411.20,large,0,0.000,0.000,256,-126.040,306.230
G.MI,EUR,51.81,mid,24,0.082,31.985,1027,-173.351,1639.168
STM.MI,,,skip,0,0,0,0,0,0
FBK.MI,EUR,28.26,mid,3,8.583,24.556,309,-59.161,499.319
PST.MI,EUR,31.52,mid,3,4.974,8.434,248,-67.592,384.410
TRN.MI,EUR,11.65,small,0,0.000,0.000,560,-271.965,837.662
MONC.MI,EUR,58.57,mid,13,2.565,19.207,304,-76.649,397.867
SRG.MI,EUR,6.75,small,17,-1.082,63.948,624,-304.058,935.210
CNHI.MI,,,skip,0,0,0,0,0,0
BMED.MI,EUR,27.90,mid,10,9.780,19.218,670,-132.113,1039.800
MB.MI,EUR,33.11,mid,41,-14.080,58.148,1027,-81.865,1780.460
BAMI.MI,EUR,19.66,small,42,-7.288,61.030,681,-7.705,1129.270
LDO.MI,EUR,67.11,mid,16,-5.426,33.200,510,-78.236,826.695
REC.MI,EUR,61.57,mid,22,0.697,24.980,808,-186.724,1099.177
TIT.MI,EUR,8.78,small,29,-18.951,49.474,1019,-190.680,1806.938
AMP.MI,EUR,13.82,small,29,9.079,86.770,624,-224.031,904.385
PIRC.MI,EUR,7.57,small,5,4.146,8.280,227,-69.358,348.904
IG.MI,EUR,10.32,small,1,-0.291,0.085,221,-103.290,339.758
DIA.MI,EUR,87.18,mid,23,1.506,20.223,471,-106.022,577.795
INW.MI,EUR,7.45,small,11,20.867,55.442,269,-101.231,359.275
ENAV.MI,EUR,6.00,small,8,5.017,12.226,259,-103.908,377.465
ITX.MC,EUR,67.82,mid,14,-2.003,24.572,620,-124.133,898.492
IBE.MC,EUR,23.93,mid,3,-1.439,1.352,693,-203.092,1012.193
BBVA.MC,EUR,28.44,mid,15,-0.888,19.286,683,-134.521,1065.379
TEF.MC,EUR,4.24,micro,17,-1.964,31.758,668,-272.819,1282.743
AENA.MC,EUR,31.03,mid,11,-1.531,12.993,280,-81.740,395.157
FER.MC,EUR,66.32,mid,22,-15.001,17.713,675,-253.145,864.220
REP.MC,EUR,29.23,mid,7,-0.541,9.560,696,-115.240,1067.470
ELE.MC,EUR,48.84,mid,23,8.655,55.142,656,-194.426,1009.611
CABK.MC,EUR,14.82,small,12,-9.117,9.759,478,-140.160,715.622
AMS.MC,EUR,66.48,mid,3,-3.307,3.646,408,-74.996,647.717
ACS.MC,EUR,126.03,large,7,-0.590,1.346,631,-175.941,933.871
MAP.MC,EUR,5.11,small,26,-11.664,47.770,615,-150.996,1101.575
SAB.MC,EUR,3.98,micro,53,-20.016,91.777,691,-277.317,1472.238
BKT.MC,EUR,19.02,small,56,-28.748,72.439,694,-111.417,1141.573
CLNX.MC,EUR,31.86,mid,5,-5.497,6.045,258,-57.394,396.153
GRF.MC,EUR,11.76,small,9,0.110,14.461,498,-103.202,862.071
ANA.MC,EUR,246.27,large,10,-4.582,10.729,693,-110.715,1012.115
LOG.MC,EUR,42.43,mid,9,-8.225,11.588,289,-94.038,394.607
ENG.MC,EUR,19.47,small,13,-5.451,19.495,616,-216.740,829.412
RED.MC,EUR,17.89,small,23,0.322,47.542,679,-219.361,883.269
IAG.MC,EUR,5.96,small,26,-12.633,32.740,387,-107.431,608.403
MRL.MC,EUR,17.08,small,3,-3.142,3.291,295,-70.751,355.531
COL.MC,EUR,6.45,small,13,-6.511,18.307,635,-141.858,953.800
FDR.MC,EUR,23.54,mid,14,-13.360,15.894,446,-117.132,611.940
INVE-B.ST,SEK,44.72,mid,3,5.650,10.660,690,-281.294,1048.612
ATCO-A.ST,SEK,22.12,mid,2,-0.328,1.870,649,-238.878,898.231
VOLV-B.ST,SEK,37.53,mid,16,5.962,41.403,678,-45.552,1342.107
ERIC-B.ST,SEK,10.21,small,32,-0.773,55.448,686,-214.827,1035.684
HM-B.ST,SEK,18.88,small,9,20.659,50.684,647,-69.028,1075.519
SEB-A.ST,SEK,23.66,mid,10,-10.045,11.802,679,-172.402,1066.602
SAND.ST,SEK,38.55,mid,7,-7.266,8.134,662,-104.258,1082.490
ESSITY-B.ST,SEK,29.78,mid,15,3.765,20.004,238,-34.730,426.433
TELIA.ST,SEK,4.60,micro,5,3.792,10.743,635,-349.248,1182.976
SWED-A.ST,SEK,40.57,mid,22,7.649,52.567,680,-211.316,1079.648
NDA-SE.ST,SEK,20.22,mid,18,-6.189,15.422,674,-187.894,938.322
ASSA-B.ST,SEK,38.68,mid,1,1.164,1.356,662,-175.808,963.539
ALFA.ST,SEK,60.05,mid,9,-2.226,4.883,622,-164.062,865.693
SKF-B.ST,SEK,27.63,mid,9,-8.448,8.901,647,-105.118,1038.413
EVO.ST,SEK,77.65,mid,10,-4.630,9.094,294,-52.142,453.060
HEXA-B.ST,SEK,10.30,small,28,-27.162,29.801,652,-195.254,1094.735
EPI-A.ST,SEK,26.51,mid,0,0.000,0.000,186,-51.401,268.508
BOL.ST,SEK,54.92,mid,19,-2.627,39.177,621,-101.157,1043.494
GETI-B.ST,SEK,25.01,mid,31,-7.982,40.876,689,-163.858,1081.174
TEL2-B.ST,SEK,17.30,small,20,-3.763,34.069,651,-38.639,1230.645
SCA-B.ST,SEK,11.64,small,12,10.338,38.217,675,-103.174,1215.736
KINV-B.ST,SEK,5.95,small,36,-12.623,54.001,667,-186.357,1215.344
NIBE-B.ST,SEK,4.24,micro,15,7.808,46.265,666,-369.907,1209.888
SINCH.ST,SEK,4.66,micro,14,-1.448,5.511,256,-53.982,427.438
ELUX-B.ST,SEK,3.25,micro,12,6.330,17.053,676,-238.792,1160.387
AZN.ST,SEK,160.26,large,16,-7.699,11.009,689,-128.444,1076.431
7203.T,JPY,18.89,small,18,-18.354,21.241,657,-135.339,1117.956
6758.T,JPY,23.59,mid,27,-6.508,25.099,665,-67.170,1257.351
