ticker,tier,nS,sumS,sqS,nC,sumC,sqC
SLHN.SW,large,44,-20.407,38.806,808,-129.173,1521.446
HOLN.SW,mid,15,2.729,34.703,612,-73.330,1087.603
ENEL.MI,small,11,-1.025,8.541,691,-216.313,1144.387
ISP.MI,small,7,-3.408,4.442,812,-194.757,1280.645
UCG.MI,mid,22,-11.276,21.462,651,-23.536,1132.898
ENI.MI,mid,10,-10.033,10.396,786,-229.146,1181.328
RACE.MI,large,0,0.000,0.000,257,-119.056,347.908
G.MI,mid,24,-0.832,31.819,1041,-160.423,1847.298
STM.MI,skip,0,0,0,0,0,0
FBK.MI,mid,3,8.583,24.556,302,-74.576,465.125
PST.MI,mid,3,4.974,8.434,250,-110.796,366.517
TRN.MI,small,0,0.000,0.000,551,-259.197,839.390
MONC.MI,mid,13,2.565,19.207,322,-101.885,404.950
SRG.MI,small,17,-1.082,63.948,621,-274.152,931.745
CNHI.MI,skip,0,0,0,0,0,0
ITX.MC,mid,14,-2.003,24.572,640,-149.947,906.316
IBE.MC,mid,3,-1.439,1.352,672,-153.178,951.905
SAN.MC,small,20,-7.724,22.654,674,-124.666,1064.611
BBVA.MC,mid,15,-0.888,19.286,708,-112.764,1142.935
TEF.MC,micro,17,-1.964,31.758,651,-203.218,1240.112
AENA.MC,mid,11,-1.531,12.993,296,-47.833,546.399
FER.MC,mid,22,-15.001,17.713,673,-234.859,937.944
REP.MC,mid,7,-0.541,9.560,675,-126.435,1046.372
ELE.MC,mid,23,8.655,55.142,679,-217.640,952.559
CABK.MC,small,12,-9.117,9.759,469,-110.755,740.459
AMS.MC,mid,3,-3.307,3.646,405,-97.443,623.934
ACS.MC,large,7,-0.590,1.346,631,-99.924,1084.775
INVE-B.ST,large,3,5.706,10.871,660,-259.340,1005.917
ATCO-A.ST,large,2,-0.274,1.841,674,-233.971,927.652
VOLV-B.ST,large,16,6.440,41.710,688,-55.740,1333.416
ERIC-B.ST,mid,32,2.371,56.793,647,-58.778,1094.556
HM-B.ST,large,9,20.886,51.689,681,-87.106,1112.803
SEB-A.ST,large,10,-9.669,10.981,685,-90.929,1175.405
SAND.ST,large,7,-7.000,7.601,648,-128.779,1009.956
ESSITY-B.ST,large,15,4.426,20.355,209,-61.181,278.361
TELIA.ST,mid,5,5.110,12.713,666,-132.166,1014.695
SWED-A.ST,large,22,8.094,52.713,691,-159.498,1149.365
7203.T,large,18,-17.666,19.808,654,-74.784,1091.483
6758.T,large,27,-5.854,24.733,668,-74.205,1168.360
9984.T,large,32,-2.516,45.080,662,-51.165,1185.483
6861.T,large,3,-2.354,2.052,621,-130.592,958.546
8306.T,large,23,25.119,76.115,525,-66.279,904.020
9432.T,large,19,-1.978,12.391,646,-70.702,1030.765
6098.T,large,9,2.542,23.096,276,-68.459,443.580
8035.T,large,18,-5.241,23.858,653,-103.922,1071.350
4063.T,large,1,-0.238,0.057,680,-141.115,1049.869
9433.T,large,22,-10.203,36.526,637,-98.185,976.916
8058.T,large,22,-5.925,53.338,673,-130.582,1145.737
7974.T,large,21,-4.077,49.002,626,-114.531,1018.280
6501.T,large,11,11.802,34.318,652,-68.411,1165.488
6902.T,large,12,-5.000,28.342,676,-110.065,1111.105
4568.T,large,24,-12.299,33.838,641,-86.968,1051.378
8316.T,large,47,12.590,87.547,672,-134.915,1055.277
7267.T,large,18,-1.819,26.438,666,-119.605,1059.097
6367.T,large,12,9.700,36.321,651,-141.507,974.197
6954.T,large,0,0.000,0.000,656,-133.671,939.604
6981.T,large,12,-11.864,13.187,623,-63.106,1087.214
7741.T,large,3,-1.066,3.691,635,-199.646,932.730
4661.T,large,30,4.195,60.509,651,-103.124,1023.962
8001.T,large,12,-9.188,12.613,651,-183.707,976.227
8031.T,large,11,-7.624,9.943,656,-159.994,1130.443
9022.T,large,16,4.682,37.631,623,-109.600,953.381
4519.T,large,24,-19.290,33.244,657,-85.849,1056.531
6273.T,large,4,-4.336,4.701,659,-147.859,1019.249
6146.T,large,8,2.262,3.294,621,-119.693,1000.338
7011.T,large,21,-10.059,24.219,655,-100.646,1054.066
6702.T,large,12,1.515,31.791,647,-54.817,1133.630
0700.HK,large,9,-9.658,10.368,558,-173.870,772.910
0941.HK,mid,16,-0.968,25.170,660,-61.006,1019.663
1299.HK,mid,6,5.027,9.809,365,-29.581,530.270
0005.HK,large,28,-13.855,33.386,664,-87.249,1259.337
0939.HK,small,21,-18.557,26.971,499,-113.507,808.208
1398.HK,small,22,-12.568,21.097,468,-129.028,710.124
3690.HK,mid,3,-1.480,2.653,208,-28.220,309.371
9988.HK,large,0,0.000,0.000,145,22.295,249.809
0388.HK,large,15,-0.496,11.703,621,-93.064,994.393
2318.HK,mid,13,-4.620,13.835,542,-59.791,855.870
1810.HK,mid,2,2.640,3.945,179,-40.285,231.874
0016.HK,large,17,4.974,44.122,679,-84.322,1142.655
0001.HK,mid,31,-25.695,47.209,638,-63.028,1028.027
0027.HK,mid,16,9.332,48.139,663,-174.442,963.564
0011.HK,skip,0,0,0,0,0,0
1113.HK,mid,9,8.232,18.334,262,-47.495,424.702
2382.HK,mid,11,-7.625,11.356,465,-103.340,684.860
0175.HK,small,40,-25.116,40.570,498,-35.672,765.167
9618.HK,large,0,0.000,0.000,134,4.821,245.050
3988.HK,small,26,-14.368,48.458,503,-162.377,754.133
2628.HK,mid,15,2.159,10.095,544,-52.888,840.418
BHP.AX,mid,143,-285.299,2701.076,901,-618.226,6739.789
CBA.AX,large,42,-2.507,69.497,834,-426.005,3215.401
CSL.AX,large,12,-9.005,11.055,757,-254.343,1944.677
NAB.AX,mid,117,-319.562,3461.430,902,-462.828,3962.567
WBC.AX,mid,207,-364.120,6268.384,895,-569.180,9758.009
ANZ.AX,mid,139,-67.354,520.906,897,-444.159,3515.755
WES.AX,mid,217,-96.799,1303.436,887,-349.283,2498.148
