ticker,tier,nS,sumS,sqS,nC,sumC,sqC
PROP,micro,6,3.987,13.576,328,-81.969,445.290
KG,small,13,18.037,66.002,454,-74.751,659.674
IMAQ,small,3,-2.846,9.207,106,-221.262,3744.777
PGZ,small,13,-2.704,23.494,322,-148.540,561.167
TUNGF,micro,0,0.000,0.000,12,-0.691,9.282
USIO,micro,20,25.924,70.752,692,-108.131,777.181
GNTA,micro,3,-3.667,4.497,103,-52.505,104.598
ELTK,small,20,6.046,47.146,749,-124.374,949.784
UEIC,micro,24,-6.133,17.569,816,-193.145,1293.306
CHUC,micro,8,-3.862,10.799,355,-50.982,390.042
IMMP,micro,15,-8.429,18.679,323,-134.309,404.786
DOMH,micro,74,22.603,100.580,1192,-169.534,1239.889
AUXXF,micro,5,6.081,8.325,119,-46.812,132.560
SPWR,micro,1,-1.138,1.295,59,-17.266,62.436
SNWV,small,0,0.000,0.000,32,13.264,61.867
ATYR,micro,10,-0.770,19.487,290,-91.235,359.214
XHG,micro,8,1.867,5.691,142,-15.128,175.672
FSP,micro,21,-3.307,38.414,516,-385.231,1002.349
SNT,micro,31,-5.406,44.247,842,-395.931,1271.028
SPWH,micro,14,-4.938,12.864,292,-111.207,664.639
VASO,micro,21,19.435,52.193,772,-285.317,827.617
RDEXF,micro,82,-211.525,3255.793,325,-176.681,4474.953
AEI,micro,7,-4.930,15.402,131,-42.375,149.238
DTSQ,small,0,0.000,0.000,25,-144.845,1982.013
JETMF,micro,0,0.000,0.000,141,-35.191,147.619
AIOS,small,14,-5.137,15.198,210,3.277,272.255
NEPH,micro,28,2.893,32.619,540,-68.082,648.721
QTI,micro,3,2.298,5.438,104,-278.557,3508.215
EQTRF,micro,18,-2.520,57.529,307,-90.126,542.643
VTSI,micro,3,0.368,3.018,319,-70.514,412.981
PPSI,micro,14,-5.542,29.927,315,-78.946,432.245
MDBH,micro,3,0.675,4.808,50,1.893,62.946
DAIO,micro,14,-4.697,16.355,957,-244.708,1150.701
KLNG,micro,59,55.206,207.079,612,-77.025,1028.627
NCI,small,0,0.000,0.000,39,-20.329,32.520
UCL,micro,7,0.846,18.380,146,-30.092,184.272
ATCH,micro,5,-2.434,14.607,103,-682.747,17638.858
TAOX,micro,4,-4.502,5.068,136,-2.127,174.331
ACCS,small,49,5.706,137.699,463,-112.062,672.292
WSTRF,micro,4,-5.188,6.731,31,-9.133,37.817
CLIR,micro,6,3.193,11.697,339,-23.280,401.348
CDLX,micro,14,0.502,27.062,188,-13.745,258.077
WIMI,micro,10,8.101,36.060,143,-5.156,176.693
CTXR,micro,27,-8.575,49.718,283,-137.471,878.202
GWH,micro,2,2.771,3.845,132,15.419,197.542
CCM,micro,5,8.151,20.215,382,-66.167,568.882
DARE,micro,33,-5.532,76.118,301,-107.338,393.915
ESGH,micro,2,-2.361,2.788,51,-31.903,175.443
EPSM,micro,0,0.000,0.000,17,-8.273,16.028
MSGM,micro,2,-0.604,1.448,123,-11.544,152.586
HTOO,micro,13,11.201,34.733,145,28.769,193.810
MRNO,micro,1,0.825,0.680,92,-736.722,29204.973
ADGM,micro,4,-2.965,5.060,29,-13.170,55.252
TULP,micro,31,-23.661,41.493,880,-165.057,1191.031
SOS,micro,24,8.268,31.572,225,-5.428,296.027
OSRH,micro,0,0.000,0.000,50,-302.167,11600.288
SAGT,micro,0,0.000,0.000,17,-8.505,22.156
GRNL,micro,21,3.897,63.176,27,-19.952,394.246
TOMZ,micro,29,17.978,111.090,436,-141.741,630.455
CLEV,micro,44,5.091,125.823,343,-77.616,1290.490
MIMI,micro,1,0.549,0.301,20,-0.038,24.078
WVVI,micro,6,-3.450,5.934,783,-295.439,919.872
NVNI,micro,10,1.724,20.625,98,-388.439,9907.654
NEWH,micro,38,-21.083,49.922,492,-55.798,481.468
SNTI,micro,20,-1.145,32.083,114,-32.509,147.201
LNAI,micro,11,11.082,42.799,193,-13.622,262.331
CLWT,micro,30,-7.775,50.528,734,-364.138,1156.687
PFHO,micro,52,-132.246,771.364,400,-598.538,17168.017
WXM,micro,0,0.000,0.000,9,-6.243,9.563
CTGL,micro,43,-18.458,107.340,347,-42.437,578.603
MBAI,micro,31,-11.597,64.892,265,-47.744,349.271
CVAT,micro,12,-5.544,25.673,400,-25.706,640.677
FGI,micro,0,0.000,0.000,90,-8.444,99.999
VEEA,micro,1,0.559,0.313,110,-823.957,17373.635
DTSS,micro,6,-1.659,14.247,212,-73.044,277.427
MOJO,micro,19,4.880,54.895,345,-85.224,593.532
ARBB,micro,5,-5.553,6.178,73,-9.295,107.305
TAOP,micro,20,9.645,56.796,482,-114.739,668.860
BRGX,micro,74,-108.420,965.879,592,-179.274,1580.511
THURF,micro,35,-45.131,387.594,215,-287.793,4236.721
ALZN,micro,9,8.782,26.844,111,12.170,180.780
POLA,micro,14,5.690,24.743,231,-44.063,285.709
WLDS,micro,6,-1.336,4.525,87,19.241,125.420
PCSA,micro,113,161.246,482.137,258,-13.752,1174.907
STME,micro,25,27.244,128.878,287,-62.818,488.692
NDRA,micro,16,1.960,35.375,219,12.040,301.122
LTUM,micro,8,1.285,3.147,426,-90.859,300.493
ILXP,skip,0,0,0,0,0,0
DXYN,micro,29,-12.355,40.943,1000,-421.255,1308.550
CCHH,skip,0,0,0,0,0,0
CHNR,micro,24,-3.032,47.398,760,-75.982,1042.063
AQB,micro,2,0.257,4.229,232,-46.193,334.130
REVB,micro,8,1.484,15.601,138,-119.737,2139.355
CELZ,micro,24,-14.605,29.157,231,-56.455,309.185
INTJ,micro,5,-3.068,2.719,38,-7.285,40.407
CAPC,micro,28,-2.273,73.764,717,-165.150,695.153
MSGY,micro,0,0.000,0.000,8,-1.676,8.139
ATXG,micro,3,0.416,2.344,118,-36.958,124.875
TNON,micro,4,2.202,5.715,83,28.605,143.717
IZM,micro,15,-12.980,36.962,50,-12.223,65.363
VSEE,micro,2,-0.303,2.483,99,-743.590,115211.795
GRI,micro,4,2.228,8.997,118,-4.100,134.812
ATPC,micro,4,-1.787,5.298,51,-15.101,40.916
CHSN,micro,2,-2.358,2.783,65,-16.430,88.426
CDT,micro,12,-0.649,7.704,105,-58.225,688.086
LBSR,micro,5,6.676,12.961,323,-29.152,284.934
IVF,micro,9,3.704,6.441,141,17.225,190.543
SRKZF,micro,123,-230.778,1174.297,251,-427.411,29889.720
MDLK,micro,51,8.915,171.773,219,-63.259,241.539
AMZE,micro,5,-0.538,9.988,104,20.759,159.845
EPWKF,micro,1,0.096,0.009,20,2.360,15.572
SHFS,micro,10,0.813,7.741,100,-4.608,122.923
BNRG,micro,4,-1.722,8.113,85,4.481,97.096
KUST,micro,10,5.232,13.681,483,-113.036,706.730
GTIC,micro,31,-18.321,696.577,176,-47.604,400.850
PNYG,micro,15,18.452,65.636,42,-326.299,77678.296
HGAS,micro,16,2.680,59.256,44,-18.618,171.603
ONFO,micro,0,0.000,0.000,85,-17.934,134.300
NMHI,micro,7,-2.676,12.079,89,-966.648,45742.160
ITOX,micro,16,-29.545,86.181,271,-120.615,513.691
CBDW,micro,2,2.553,3.323,87,-24.567,52.367
OWPC,micro,6,-2.956,14.366,179,-37.286,193.402
MGAM,micro,13,-9.791,17.578,70,-5.837,63.928
