ticker,tier,nS,sumS,sqS,nC,sumC,sqC
ASPSZ,skip,0,0,0,0,0,0
WAFDP,small,19,-2.819,50.130,125,-28.328,175.458
PFFL,small,24,-9.501,66.085,179,-15.015,396.208
BIPJ,mid,0,0.000,0.000,31,-12.681,32.958
GLL,mid,18,7.505,32.623,441,58.536,921.230
MITP,mid,0,0.000,0.000,39,-11.840,107.852
NSLRL,mid,0,0.000,0.000,102,-112.805,269.474
BGMSP,micro,45,22.055,170.096,477,-205.309,1578.940
FNGO,large,0,0.000,0.000,199,-68.608,317.735
BULZ,mid,5,-0.767,5.109,116,-31.066,149.112
BAMKF,small,0,0.000,0.000,20,-46.545,297.061
BXDIF,skip,0,0,0,0,0,0
SBBTF,mid,28,-21.869,21.587,47,-42.100,239.915
SQFTP,small,6,-0.878,14.512,109,6.940,159.884
SRJN,skip,0,0,0,0,0,0
CHSCN,mid,1,0.411,0.169,294,-87.480,335.224
CNOBP,mid,0,0.000,0.000,109,-83.482,153.310
SRGBF,small,0,0.000,0.000,1,-0.091,0.008
XELLL,skip,0,0,0,0,0,0
TDGMW,skip,0,0,0,0,0,0
RMTHF,skip,0,0,0,0,0,0
RYLBF,small,0,0.000,0.000,7,-59.613,1254.432
VYLD,mid,0,0.000,0.000,16,-6.469,27.856
WEXPF,micro,2,-0.441,3.260,88,-38.107,153.161
VXX,mid,5,-2.701,3.437,214,11.908,279.317
RLNDF,skip,0,0,0,0,0,0
AMPWF,skip,0,0,0,0,0,0
UCFIW,skip,0,0,0,0,0,0
OKMN,micro,30,-2.481,86.142,42,-20.587,172.070
ALCWF,skip,0,0,0,0,0,0
PLMUF,micro,5,9.775,26.096,3,1.955,6.666
NTWOU,small,14,-297.026,6301.740,15,-113.517,1757.188
TACOU,small,8,-58.682,434.749,13,-38.658,166.942
IMSRW,skip,0,0,0,0,0,0
FVNNU,small,1,-4.949,24.491,22,-275.214,10327.582
KCHVR,skip,0,0,0,0,0,0
ALMP,micro,0,0.000,0.000,0,0.000,0.000
GTENW,skip,0,0,0,0,0,0
XRPNW,skip,0,0,0,0,0,0
CAPNR,micro,20,-22.222,76.745,199,-136.110,2482.425
SHAZW,skip,0,0,0,0,0,0
NGHLF,micro,0,0.000,0.000,1,-0.660,0.436
LATAU,skip,0,0,0,0,0,0
SCXBF,skip,0,0,0,0,0,0
XIIIU,skip,0,0,0,0,0,0
SVAQW,skip,0,0,0,0,0,0
GPTGF,micro,79,-273.882,2468.630,229,-727.302,13757.963
ONBPP,mid,0,0.000,0.000,144,-40.999,159.719
CXIIW,skip,0,0,0,0,0,0
ZJNGF,skip,0,0,0,0,0,0
ENBMF,small,0,0.000,0.000,15,-16.251,72.079
FWACR,skip,0,0,0,0,0,0
OBCKF,skip,0,0,0,0,0,0
