claim,source,journal,year,category,definition,testable,data_needed,meta
Organizational capital,Eisfeldt & Papanikolaou (2013),JF,2013,other,,unknown,,GHZ
Scaled analyst forecast of one year ahead earnings,"Elgers, Lo & Pfeiffer (2001)",TAR,2001,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",GHZ
Growth in long term net operating assets,"Fairfield, Whisenant & Yohn (2003)",TAR,2003,macro,,partial,Yahoo proxies (FRED blocked),GHZ
Beta,Fama & MacBeth (1973),JPE,1973,risk/vol,,yes,OHLCV 33y + 1m intraday,GHZ
Operating Profitability,Fama and French (2015),JFE,2015,fundamental,,no-data,needs paid fundamentals depth,GHZ
R&D-to-market cap,"Guo, Lev & Shi (2006)",JBFA,2006,fundamental,,no-data,needs paid fundamentals depth,GHZ
Percent accruals,"Hafzalla, Lundholm & Van Winkle (2011)",TAR,2011,fundamental,,no-data,needs paid fundamentals depth,GHZ
Debt capacity-to-firm tangibility,Hahn & Lee (2009),JF,2009,fundamental,,no-data,needs paid fundamentals depth,GHZ
Change in forecasted annual EPS,"Hawkins, Chamberlin & Daniel (1984)",FAJ,1984,other,,unknown,,GHZ
Price delay,Hou & Moskowitz (2005),RFS,2005,price,,yes,OHLCV 33y + 1m intraday,GHZ
Industry sales concentration,Hou & Robinson (2006),JF,2006,fundamental,,no-data,needs paid fundamentals depth,GHZ
"Return on Equity, Quarterly","Hou, Xue, and Zhang (2015)",RFS,2015,price,,yes,OHLCV 33y + 1m intraday,GHZ
1-month momentum,Jegadeesh (1990),JF,1990,price,,yes,OHLCV 33y + 1m intraday,GHZ
12-month momentum,Jegadeesh (1990),JF,1990,price,,yes,OHLCV 33y + 1m intraday,GHZ
6-month momentum,Jegadeesh & Titman (1990),JF,1990,price,,yes,OHLCV 33y + 1m intraday,GHZ
Revenue surprise,Kama (2009),JBFA,2009,fundamental,,no-data,needs paid fundamentals depth,GHZ
3-day return around earnings announcement,"Kishore, Brandt, Santa-Clara & Venkatachalam (2008)",WP,2008,price,,yes,OHLCV 33y + 1m intraday,GHZ
Annual sales growth,"Lakonishok, Shleifer & Vishny (1994)",JF,1994,fundamental,,no-data,needs paid fundamentals depth,GHZ
Taxable income to book income,Lev & Nissim (2004),TAR,2004,fundamental,,no-data,needs paid fundamentals depth,GHZ
Dividends-to-price,Litzenberger & Ramaswamy (1982),JF,1982,price,,yes,OHLCV 33y + 1m intraday,GHZ
Zero-trading days,Liu (2006),JFE,2006,other,,unknown,,GHZ
New equity issue,"Loughran, Ritter & Ritter (1995)",JF,1995,other,,unknown,,GHZ
Dividend initiation,"Michaely, Thaler & Womack (1995)",JF,1995,fundamental,,no-data,needs paid fundamentals depth,GHZ
Dividend omission,"Michaely, Thaler & Womack (1995)",JF,1995,fundamental,,no-data,needs paid fundamentals depth,GHZ
Financial statements score,Mohanram (2005),RAS,2005,other,,unknown,,GHZ
Industry momentum,Moskowitz & Grinblatt (1999),JF,1999,price,,yes,OHLCV 33y + 1m intraday,GHZ
