claim,source,journal,year,category,definition,testable,data_needed,meta
Prior 12-month turnoever-adjusted numer of zero daily trading volume,Liu (2006),NA,2006,microstructure,,partial,"volume/range only, no L2",HXZ
Advertising expense-to-market,"Chan, Lakonishok, and Sougiannis (2001)",NA,2001,other,,unknown,,HXZ
Analysts-based intrinsic value-to-market,Frankel and Lee (1998),NA,1998,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Analysts optimism,Frankel and Lee (1998),NA,1998,positioning/flow,,partial,"FINRA short-vol 2018+, CFTC COT",HXZ
Market beta,Fama and MacBeth (1973),NA,1973,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
The Frazzini-Pedersen (2014) beta,Frazzini and Pedersen (2014),NA,2014,risk/vol,,yes,OHLCV 33y + 1m intraday,HXZ
The high-low bid-ask spread estimator,Corwin and Schultz (2012),NA,2012,microstructure,,partial,"volume/range only, no L2",HXZ
Firm age,"Jiange, Lee and Zhang (2005)",NA,2005,other,,unknown,,HXZ
Pension funding rate (scaled by market equity),Franzoni and Martin (2006),NA,2006,other,,unknown,,HXZ
Change in long-term net operating assets,"Fairfield, Whisenant and Yohn (2003)",NA,2003,macro,,partial,Yahoo proxies (FRED blocked),HXZ
%change in sales - %change in inventory,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
%change in sales - %change in SG&A,Abarbanell and Bushee (1998),NA,1998,fundamental,,no-data,needs paid fundamentals depth,HXZ
Industry concentration (total assets),Hou and Robinson (2006),NA,2006,other,,unknown,,HXZ
